date,close,open
2015,"41,211","63,934"
2014,"39,083","59,620"
2013,"37,797","64,164"
2012,"37,004","57,141"
2011,"34,609","53,349"
2010,"34,112","51,742"
2009,"35,824","56,670"
2008,"34,375","54,231"
2007,"34,980","52,538"
2006,"34,315","55,208"
2005,"30,790","49,654"
2004,"29,385","48,311"
2003,"27,807","43,842"
2002,"26,132","44,124"
2015,"34,453","54,757"
2014,"32,588","53,196"
2013,"32,453","52,529"
2012,"31,368","49,915"
2011,"30,553","48,948"
2010,"29,745","47,077"
2009,"29,723","46,800"
2008,"29,087","47,751"
2007,"29,249","47,137"
2006,"28,416","46,677"
2005,"26,261","44,850"
2004,"25,027","42,831"
2003,"24,630","41,483"
2002,"23,619","41,057"
2015,"30,624","38,979"
2014,"28,427","38,031"
2013,"28,400","36,938"
2012,"27,531","34,232"
2011,"27,106","34,086"
2010,"26,315","32,453"
2009,"26,059","33,077"
2008,"26,233","32,986"
2007,"26,950","32,481"
2006,"25,839","32,232"
2005,"23,877","30,791"
2004,"22,552","29,822"
2003,"22,400","28,880"
2002,"22,055","28,819"
2015,"27,116","39,238"
2014,"24,731","36,452"
2013,"24,530","35,221"
2012,"23,472","33,553"
2011,"23,309","31,979"
2010,"22,614","31,485"
2009,"22,866","30,928"
2008,"22,063","32,534"
2007,"22,649","31,693"
2006,"21,676","31,432"
2005,"20,356","29,799"
2004,"19,494","29,232"
2003,"18,852","27,725"
2002,"18,180","27,647"
