date,HispanicW,BlackW,WhiteW,BlackM,HispanicM,AsianW,WhiteM,AsianM
2015,27116,30624,34453,38979,39238,41211,54757,63934
2014,24731,28427,32588,38031,36452,39083,53196,59620
2013,24530,28400,32453,36938,35221,37797,52529,64164
2012,23472,27531,31368,34232,33553,37004,49915,57141
2011,23309,27106,30553,34086,31979,34609,48948,53349
2010,22614,26315,29745,32453,31485,34112,47077,51742
2009,22866,26059,29723,33077,30928,35824,46800,56670
2008,22063,26233,29087,32986,32534,34375,47751,54231
2007,22649,26950,29249,32481,31693,34980,47137,52538
2006,21676,25839,28416,32232,31432,34315,46677,55208
2005,20356,23877,26261,30791,29799,30790,44850,49654
2004,19494,22552,25027,29822,29232,29385,42831,48311
2003,18852,22400,24630,28880,27725,27807,41483,43842
2002,18180,22055,23619,28819,27647,26132,41057,44124
