date,close,open,BlackW,BlackM,AsianW,AsianM,HispanicW,HispanicM
2015,34453,54757,0,0,0,0,0,0
2014,32588,53196,0,0,0,0,0,0
2013,31968,50779,0,0,0,0,0,0
2012,31368,49915,0,0,0,0,0,0
2011,30553,48948,0,0,0,0,0,0
2010,29745,47077,0,0,0,0,0,0
2009,29723,46800,0,0,0,0,0,0
2008,29087,47751,0,0,0,0,0,0
2007,29249,47137,0,0,0,0,0,0
2006,28416,46677,0,0,0,0,0,0
2005,26261,44850,0,0,0,0,0,0
2004,25027,42831,0,0,0,0,0,0
2003,24630,41483,0,0,0,0,0,0
2002,23619,41057,0,0,0,0,0,0
2001,23602,40859,0,0,0,0,0,0
2000,22428,40254,0,0,0,0,0,0
1999,21312,38384,0,0,0,0,0,0
1998,20462,36315,0,0,0,0,0,0
1997,19511,34794,0,0,0,0,0,0
1996,18369,32800,0,0,0,0,0,0
1995,17265,31454,0,0,0,0,0,0
1994,16478,30367,0,0,0,0,0,0
1993,15761,28939,0,0,0,0,0,0
1992,14922,26810,0,0,0,0,0,0
1991,14449,26369,0,0,0,0,0,0
1990,13913,26041,0,0,0,0,0,0
1989,13226,25746,0,0,0,0,0,0
1988,12311,24054,0,0,0,0,0,0
1987,11538,22798,0,0,0,0,0,0
1986,10741,21822,0,0,0,0,0,0
1985,10173,20652,0,0,0,0,0,0
1984,9584,19438,0,0,0,0,0,0
1983,8780,18109,0,0,0,0,0,0
1982,8195,17381,0,0,0,0,0,0
1981,7440,16515,0,0,0,0,0,0
1980,6772,15340,0,0,0,0,0,0
1979,6026,14311,0,0,0,0,0,0
1978,5599,13113,0,0,0,0,0,0
1977,5291,12063,0,0,0,0,0,0
1976,4875,11165,0,0,0,0,0,0
1975,4513,10429,0,0,0,0,0,0
1974,4161,9861,0,0,0,0,0,0
1973,3799,9289,0,0,0,0,0,0
1972,3577,8635,0,0,0,0,0,0
1971,3333,7892,0,0,0,0,0,0
1970,3138,7537,0,0,0,0,0,0
1969,2945,7202,0,0,0,0,0,0
1968,2732,6626,0,0,0,0,0,0
1967,2483,6054,0,0,0,0,0,0
